trace_id,provider,model,prompt_id,buffer_depth_ms,stall_index,stall_started_ms,stall_recovered_ms,recovery_ms
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,0,200.04089785147175,298.02478406988007,97.98388621840832
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,1,778.0247840698801,783.4141636536083,5.389379583728214
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,2,1503.4141636536083,1508.0950676103519,4.6809039567435775
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,0,200.04089785147175,298.02478406988007,97.98388621840832
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,1,778.0247840698801,783.4141636536083,5.389379583728214
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,2,1503.4141636536083,1508.0950676103519,4.6809039567435775
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,0,200.04089785147175,298.02478406988007,97.98388621840832
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,1,778.0247840698801,783.4141636536083,5.389379583728214
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,2,1503.4141636536083,1508.0950676103519,4.6809039567435775
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,80.0,0,220.1449985429974,298.02478406988007,77.87978552688267
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,80.0,1,778.0247840698801,783.4141636536083,5.389379583728214
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,80.0,2,1503.4141636536083,1508.0950676103519,4.6809039567435775
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,0,206.95175205730231,299.241798585933,92.29004652863068
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,1,539.241798585933,540.097158385844,0.855359799910957
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,0,206.95175205730231,299.241798585933,92.29004652863068
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,1,539.241798585933,540.097158385844,0.855359799910957
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,0,206.95175205730231,299.241798585933,92.29004652863068
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,1,539.241798585933,540.097158385844,0.855359799910957
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,80.0,0,220.9142506432758,299.241798585933,78.32754794265719
bursty_same_ttfa-long_incident-r001,bursty_same_ttfa,synthetic-validation-v1,long_incident,80.0,1,539.241798585933,540.097158385844,0.855359799910957
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,0,200.68015293706816,297.49648311582416,96.816330178756
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,1,537.4964831158242,538.7502239103587,1.2537407945345649
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,2,778.7502239103587,782.6487412689696,3.8985173586108886
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,3,1022.6487412689696,1026.7830384823787,4.134297213409127
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,4,1266.7830384823787,1274.0822800277597,7.299241545380937
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,0.0,5,1514.0822800277597,1515.4964825081438,1.4142024803841196
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,0,200.68015293706816,297.49648311582416,96.816330178756
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,1,537.4964831158242,538.7502239103587,1.2537407945345649
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,2,778.7502239103587,782.6487412689696,3.8985173586108886
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,3,1022.6487412689696,1026.7830384823787,4.134297213409127
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,4,1266.7830384823787,1274.0822800277597,7.299241545380937
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,20.0,5,1514.0822800277597,1515.4964825081438,1.4142024803841196
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,0,200.68015293706816,297.49648311582416,96.816330178756
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,1,537.4964831158242,538.7502239103587,1.2537407945345649
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,2,778.7502239103587,782.6487412689696,3.8985173586108886
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,3,1022.6487412689696,1026.7830384823787,4.134297213409127
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,4,1266.7830384823787,1274.0822800277597,7.299241545380937
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,40.0,5,1514.0822800277597,1515.4964825081438,1.4142024803841196
bursty_same_ttfa-long_incident-r002,bursty_same_ttfa,synthetic-validation-v1,long_incident,80.0,0,216.14741970389272,297.49648311582416,81.34906341193144
